trial_number,stop_word_type,use_custom_preprocessing,roc_auc,accuracy,f1,max_features,min_df,max_df,ngram_range,analyzer,svd_method,semantic_threshold,num_features_to_select,n_components
0,nltk,False,0.6720684587507295,0.351074932164475,0.3377801811242358,350,0.0007425035602578,0.9569521225818092,"(1, 1)",char,truncated,15.020871160747344,480,74
0,custom,False,0.6886437795921195,0.3813400125234815,0.3704375659049194,759,0.0089844065705035,0.997514309697475,1-1,char,truncated,15.327965425189058,1265,49
0,spacy,True,0.6589419312964525,0.34042997286579,0.3255791216996714,249,0.001312677156034,0.9907951770696102,1-1,char,truncated,17.71381238554061,1110,27
0,spacy,True,0.6411492578818617,0.3145481110415362,0.2986525878928813,1958,0.0086680118288902,0.9569868318805116,1-1,char,incremental,3.052856410376108,1975,49
1,spacy,True,0.6631439164321844,0.3416823210185765,0.3274028897870938,680,0.0047103560096947,0.9937095137811708,1-1,char,incremental,9.986654316187993,1695,75
2,spacy,True,0.7831293184741048,0.4581506992277186,0.4494648332004405,423,0.0082339412293555,0.9817896257411868,1-1,word,none,1.208512603545551,1962,23
0,custom,True,0.6393045646512687,0.31517428511792944,0.29818902688489696,1636,0.006397976698637035,0.9625084959644032,1-1,char,truncated,10.489030362506604,1462,64
1,custom,True,0.8040290296021452,0.49530369442705074,0.4862588549883862,1705,0.006926729484795232,0.9522586405113859,1-1,word,truncated,4.296224614653363,1840,95
2,custom,True,0.6412124551416459,0.3147568357336673,0.2982228163137415,281,0.003110236800002947,0.9547473475595853,1-1,char,truncated,6.134736740711819,1363,41
3,custom,True,0.7976858736636253,0.4884157795867251,0.477387183380665,748,0.009967262561328079,0.9959714246331726,1-1,word,incremental,0.3175441001309798,1906,100
4,custom,True,0.6412124551416459,0.3147568357336673,0.2982228163137415,1568,0.004169813699597943,0.9589099275378431,1-1,char,none,9.726430365919605,1167,91
5,custom,True,0.7879667455334468,0.47985806720935087,0.4682106086446283,569,0.0009020967549633175,0.9950907812272722,1-1,word,incremental,14.906814521631064,297,66
6,custom,True,0.6411492578818617,0.31454811104153624,0.29865258789288135,274,0.0017929777737479612,0.9547422479612011,1-1,char,incremental,19.86961190798585,1001,84
7,custom,True,0.6514966026272349,0.3203924024212064,0.3061558221126296,1800,0.004270808966682631,0.9736049172747855,1-1,char,incremental,6.907255961026786,1293,88
8,custom,True,0.8202828269784371,0.512001669797537,0.5063882392223078,1449,0.0018697515635041854,0.9565035742564029,1-1,word,none,15.752860042925366,1632,10
9,custom,True,0.8177829350787915,0.5115842204132749,0.5056504953662504,793,0.0014281000029497204,0.9771366615948166,1-1,word,none,5.840625018440331,1915,67
10,custom,True,0.8257278082410829,0.5236902525568775,0.5171262426813984,1215,0.00010887451924783604,0.9703478186115828,1-1,word,none,17.28336091955617,688,4
11,custom,True,0.8255625237308285,0.5257774994781883,0.519308717119672,1238,0.00019384406692620187,0.9700186630224381,1-1,word,none,17.34292782729873,623,1
12,custom,True,0.8258555600037149,0.5205593821749113,0.5141671056527115,1199,0.0005885895758611552,0.9708221893282316,1-1,word,none,19.66980272008587,689,1
13,custom,True,0.8248968848573739,0.5168023377165518,0.5099683069912876,1102,0.00016525063097487855,0.9807242707892647,1-1,word,none,19.33071871497397,782,22
14,custom,True,0.7985018747915656,0.48215403882279273,0.4742484431383917,1176,0.0029924236653802766,0.9834339279945781,1-1,word,none,14.284911283270414,106,28
15,custom,True,0.8246496196997424,0.5168023377165518,0.5100666025443727,1988,0.005983114664925878,0.9647360113812018,1-1,word,none,12.215752761026799,574,18
16,custom,True,0.8182526352037998,0.5126278438739302,0.5063310792634923,1341,0.007992096399068574,0.9888046093151448,1-1,word,none,17.315586625776945,932,36
17,custom,True,0.8235136229637579,0.5232728031726154,0.5170036316018615,914,0.0025411520929846604,0.9678798925204191,1-1,word,none,17.731007582369294,459,7
18,custom,True,0.8226937037705584,0.5186808599457315,0.5117370513409882,985,0.004080449416678575,0.9746751407348,1-1,word,none,12.99338327417286,806,45
19,custom,True,0.76657489277814,0.44708829054477145,0.43250110685550947,1382,0.0008609740836113543,0.9858652261314759,1-1,word,truncated,19.55314957195751,299,16
20,custom,True,0.7888798616455508,0.47004800667919017,0.4617238263905788,585,0.0050236462545294736,0.9697166633013142,1-1,word,none,16.43284013821819,71,30
21,custom,True,0.8256778657276372,0.5274472970152368,0.5211231482845486,1230,0.00042138120990133174,0.9690830590977947,1-1,word,none,18.033303617469155,639,6
22,custom,True,0.8259936583187605,0.5213942809434357,0.5145758719223504,1213,0.00023587189026825407,0.9620811370970285,1-1,word,none,18.69015781283024,747,1
23,custom,True,0.8230912517529496,0.5178459611772073,0.5108150195274959,1018,0.0022573631392770943,0.9622855277703476,1-1,word,none,13.802976563715559,822,1
24,custom,True,0.8236200116646522,0.5178459611772073,0.5114443071874699,1401,0.001207872095321336,0.9650241210699018,1-1,word,none,19.980971714563108,1103,12
25,custom,True,0.8233165764163829,0.5243164266332707,0.5181128214518129,886,0.0032853214972679914,0.9771605692601919,1-1,word,none,18.242582149495597,417,25
26,custom,True,0.6412124551416459,0.3147568357336673,0.2982228163137415,1112,0.0009428996966105144,0.9593431778251134,1-1,char,none,15.41444550944912,697,53
